subject_cui;subject_name;predicate;object_cui;object_name;frequency
C0087111;Therapeutic procedure;PREVENTS;C0879626;Adverse effects;1086
C0279025;Endocrine therapy;PREVENTS;C0879626;Adverse effects;8
C0017968;Glycoproteins;PREVENTS;C0175677;Injury;7
C0040732;Transplantation;PREVENTS;C0036974;Shock;9
C0042196;Vaccination;PREVENTS;C0598934;tumor growth;44
C0001645;Adrenergic beta-Antagonists;PREVENTS;C0042345;Varicosity;21
C0023690;Ligation;PREVENTS;C0042345;Varicosity;22
C0015689;Fatty Acids, Omega-3;PREVENTS;C0242606;Oxidative Stress;15
C0244404;Raloxifene;PREVENTS;C0080179;Spinal Fractures;95
C0732611;Selective Estrogen Receptor Modulators;PREVENTS;C0080179;Spinal Fractures;11
C1273869;Intervention regimes;PREVENTS;C0521654;Neurologic Deficits;21
C0001047;Acetylcysteine;PREVENTS;C0027540;Necrosis;14
C0087111;Therapeutic procedure;PREVENTS;C0027540;Necrosis;112
C0009487;Commuting;PREVENTS;C0028754;Obesity;6
C1273869;Intervention regimes;PREVENTS;C0028754;Obesity;1150
C1273869;Intervention regimes;PREVENTS;C0497406;Overweight;217
C0006675;Calcium;PREVENTS;C0029456;Osteoporosis;123
C0021102;Implants;PREVENTS;C0016658;Fracture;29
C0087111;Therapeutic procedure;PREVENTS;C0027651;Neoplasm;367
C0003232;Antibiotics;PREVENTS;C0940933;Complication, infection;33
C0087111;Therapeutic procedure;PREVENTS;C1301721;Neurological morbidity;22
C0032740;Positive-Pressure Respiration;PREVENTS;C0175677;Injury;28
C0038638;Suction drainage;PREVENTS;C0025048;Meconium Aspiration Syndrome;11
C0015525;Factor XII;PREVENTS;C0040053;Thrombosis;6
C0013227;Pharmaceutical Preparations;PREVENTS;C0040053;Thrombosis;83
C0018738;Health Promotion;PREVENTS;C0008679;Chronic Disease;31
C1273869;Intervention regimes;PREVENTS;C0007222;Cardiovascular Diseases;314
C0020268;Hydrocortisone;PREVENTS;C0009566;Complication;11
C0087111;Therapeutic procedure;PREVENTS;C1457887;Symptoms;1608
C0841853;Topical fluoride application;PREVENTS;C0333519;Caries;7
C0017720;Glucosamine Sulfate;PREVENTS;C1457887;Symptoms;7
C0003881;Arthrodesis;PREVENTS;C0030193;Pain;19
C0013227;Pharmaceutical Preparations;PREVENTS;C0012634;Disease;312
C0012528;Diphenylamine;PREVENTS;C0332691;Scalding injury;7
C0054434;caffeic acid phenethyl ester;PREVENTS;C0175677;Injury;10
C1136254;Microbicides;PREVENTS;C0019682;HIV;46
C0040732;Transplantation;PREVENTS;C0175677;Injury;40
C0038179;Starch;PREVENTS;C0012634;Disease;8
C0006675;Calcium;PREVENTS;C0521170;[X]Unspecified osteoporosis with pathological fracture;15
C0042866;Vitamin D;PREVENTS;C0521170;[X]Unspecified osteoporosis with pathological fracture;22
C1257880;Linoleic Acids, Conjugated;PREVENTS;C0006142;Malignant neoplasm of breast;9
C0087111;Therapeutic procedure;PREVENTS;C0019158;Hepatitis;23
C0087111;Therapeutic procedure;PREVENTS;C0021359;Infertility;44
C0014930;Estrogen Antagonists;PREVENTS;C0006142;Malignant neoplasm of breast;37
C0087111;Therapeutic procedure;PREVENTS;C0006142;Malignant neoplasm of breast;110
C0038838;Superoxide Dismutase;PREVENTS;C0175677;Injury;80
C0087111;Therapeutic procedure;PREVENTS;C0016658;Fracture;805
C0087111;Therapeutic procedure;PREVENTS;C0010957;Tissue damage;130
C0014695;Vitamin D2;PREVENTS;C0019557;Hip Fractures;7
C0102118;Alendronate;PREVENTS;C0019557;Hip Fractures;29
C0087111;Therapeutic procedure;PREVENTS;C0019557;Hip Fractures;58
C0078752;zeaxanthin;PREVENTS;C0086543;Cataract;9
C0042210;Vaccines;PREVENTS;C0035870;Rotavirus;26
C0021576;Insecticides;PREVENTS;C0175677;Injury;7
C0725066;Advance;PREVENTS;C0009566;Complication;36
C0765326;Seprafilm;PREVENTS;C0001511;Adhesions;47
C0003281;anticoagulation;PREVENTS;C0040038;Thromboembolism;123
C0014822;Erythropoietin;PREVENTS;C0021368;Inflammation;11
C0014822;Erythropoietin;PREVENTS;C0175677;Injury;24
C0042210;Vaccines;PREVENTS;C0019163;Hepatitis B;69
C0026606;Physical activity;PREVENTS;C0028754;Obesity;410
C0087111;Therapeutic procedure;PREVENTS;C0012634;Disease;1501
C0042212;Vaccines, Inactivated;PREVENTS;C0012634;Disease;34
C0025252;Membrane Proteins;PREVENTS;C0032269;Pneumococcal Infections;6
C0033045;Premedication;PREVENTS;C0030201;Pain, Postoperative;26
C0144576;Paclitaxel;PREVENTS;C0333186;Restenosis;55
C0543467;Operative Surgical Procedures;PREVENTS;C0006142;Malignant neoplasm of breast;14
C0030899;Pentoxifylline;PREVENTS;C0033687;Proteinuria;28
C0034618;Radiation therapy;PREVENTS;C0030193;Pain;48
C0042210;Vaccines;PREVENTS;C0007847;Malignant neoplasm of cervix uteri;301
C0042210;Vaccines;PREVENTS;C0009663;Anogenital venereal warts;88
C0008269;Chloroquine;PREVENTS;C0012634;Disease;6
C1273869;Intervention regimes;PREVENTS;C0085639;Falls;919
C0013227;Pharmaceutical Preparations;PREVENTS;C0599918;NEPHROTOXICITY;29
C0032042;Placebos;PREVENTS;C0020040;Menopausal hot flushes;23
C0087111;Therapeutic procedure;PREVENTS;C0002395;Alzheimer's Disease;136
C0087111;Therapeutic procedure;PREVENTS;C0041834;Erythema;21
C0733470;human leukocyte interferon;PREVENTS;C0042769;Virus Diseases;7
C0019134;Heparin;PREVENTS;C0040038;Thromboembolism;103
C0019139;Heparin, Low-Molecular-Weight;PREVENTS;C0040038;Thromboembolism;293
C0001563;Administration, Oral;PREVENTS;C0012634;Disease;16
C0042210;Vaccines;PREVENTS;C0041296;Tuberculosis;224
C0687732;Prevention;PREVENTS;C0012634;Disease;136
C0172537;Gelatinase A;PREVENTS;C0175677;Injury;6
C0010467;Curcumin;PREVENTS;C0027651;Neoplasm;11
C1515075;Supplementation;PREVENTS;C0599877;loss\; bone;61
C1515075;Supplementation;PREVENTS;C0856169;Endothelial dysfunction;20
C0028833;Octreotide;PREVENTS;C0020615;hypoglycemia;12
C0087111;Therapeutic procedure;PREVENTS;C0019693;HIV Infections;124
C0687732;Prevention;PREVENTS;C0006826;Malignant Neoplasms;44
